id,gender,age,condition,large_item1,large_item2,large_item3,large_item4,large_item5,large_item6,large_item7,medium_item1,medium_item2,medium_item3,medium_item4,medium_item5,medium_item6,medium_item7,small_item1,small_item2,small_item3,small_item4,small_item5,small_item6,small_item7
1,male,36,category,8,7,6,6,4,1,2,9,7,5,6,4,4,2,8,7,6,6,5,6,3
2,male,46,category,9,9,8,8,8,8,8,9,9,7,7,7,7,7,7,5,5,5,5,5,5
3,female,33,property,8,9,9,2,1,0,1,6,9,8,5,2,4,0,8,7,7,4,4,4,4
4,female,71,property,9,8,3,2,1,0,0,7,8,5,3,2,1,0,6,7,6,6,3,1,3
5,female,23,property,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,female,31,category,9,9,8,8,7,7,7,8,9,8,7,8,8,8,7,7,7,8,8,9,9
7,male,23,property,8,7,6,2,1,1,0,8,7,5,2,2,1,0,6,7,5,4,3,2,2
8,female,31,property,8,8,7,7,1,0,0,7,8,5,3,1,2,1,4,4,2,4,4,4,4
9,female,37,category,9,8,1,0,0,0,0,9,9,3,2,0,0,0,9,9,7,5,0,0,0
10,female,46,category,9,9,8,6,9,8,9,6,6,5,4,4,4,4,8,6,4,4,4,4,2
11,male,27,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,8,9,9,9,9,9
12,female,30,property,8,7,2,1,1,1,0,7,6,6,1,1,3,1,9,9,8,9,9,9,9
13,female,22,category,9,9,9,4,4,4,4,1,2,5,6,6,7,9,0,1,3,5,5,7,8
14,female,31,category,9,8,7,5,1,0,0,9,7,2,2,1,0,0,9,6,4,0,1,0,0
15,female,20,category,9,7,6,5,1,1,2,7,7,3,3,4,1,0,8,8,9,3,6,2,2
16,female,20,property,8,6,6,5,2,1,1,7,7,5,3,2,2,1,6,7,7,4,2,2,1
17,female,34,property,8,8,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,male,33,category,6,8,6,5,4,1,0,9,9,8,5,0,1,0,8,8,7,8,8,8,3
19,male,35,property,0,1,2,2,3,3,7,0,1,1,1,3,4,4,0,1,2,3,3,7,6
20,male,36,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,8,7,7,7,7
21,male,24,property,8,5,6,6,2,1,1,8,6,3,3,1,1,2,4,4,4,6,4,4,4
22,male,71,property,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,7,7,7,6
23,female,32,property,9,9,8,1,0,0,0,9,9,8,1,0,0,0,9,9,1,0,0,0,0
24,male,35,property,9,9,0,0,0,0,0,7,7,0,0,0,0,0,9,9,9,9,9,4,4
25,female,27,category,9,7,8,6,3,3,2,9,7,6,6,3,2,1,8,7,6,5,2,3,2
26,female,26,category,9,8,3,2,1,0,0,8,8,2,1,1,1,0,6,8,8,4,1,1,0
27,male,28,category,3,4,5,4,4,7,4,0,1,1,4,3,2,6,2,5,4,3,3,5,6
28,male,69,property,8,8,7,2,2,0,0,8,7,7,5,3,4,1,7,7,7,7,9,7,7
29,female,25,category,9,4,0,0,0,0,0,9,5,2,1,0,0,0,7,8,6,6,1,3,2
30,male,29,property,5,7,6,4,2,1,1,7,6,6,6,3,2,2,5,5,5,5,4,5,4
31,female,44,category,1,3,3,6,6,6,7,1,2,3,6,7,7,7,1,2,3,2,7,5,7
32,male,42,category,8,7,6,3,1,1,2,8,7,3,3,1,2,1,7,7,7,6,5,4,4
33,female,32,property,5,7,5,6,2,0,1,6,5,4,6,5,7,2,8,3,5,7,5,4,9
34,female,38,category,6,6,8,8,8,8,7,5,7,6,7,7,6,6,3,6,7,6,7,7,9
35,male,36,property,7,7,9,0,0,0,0,7,8,8,1,0,1,0,7,7,7,4,3,2,2
36,male,47,category,9,9,8,8,8,8,8,9,9,8,8,7,7,7,9,9,9,8,8,8,8
37,female,42,property,9,9,0,0,0,0,0,9,9,9,0,0,0,0,9,9,4,4,4,4,4
38,male,27,property,7,9,8,1,0,0,0,2,9,9,9,5,5,5,5,9,9,9,9,9,9
39,female,20,property,9,6,6,4,2,2,0,9,7,6,4,2,2,1,9,7,7,5,3,2,4
40,female,27,category,6,6,6,5,4,4,3,3,7,4,6,5,4,6,5,4,6,3,6,6,7
41,male,39,property,8,7,4,2,0,1,0,8,7,7,6,3,2,1,5,6,6,4,5,6,6
42,male,39,category,6,8,8,8,8,8,8,6,7,8,8,7,8,7,5,6,6,7,7,7,7
43,male,20,property,1,2,2,4,6,7,6,0,1,3,5,5,7,7,1,1,2,2,3,4,4
44,female,27,category,8,8,8,8,8,8,5,8,8,9,5,6,2,1,5,8,7,6,4,2,1
45,male,38,property,6,7,8,2,2,2,2,4,8,7,4,3,3,3,4,5,2,7,6,7,5
46,male,29,property,1,3,1,7,8,8,8,1,1,3,5,8,7,8,2,2,3,5,5,7,7
47,male,28,property,5,6,6,7,8,8,3,1,0,3,8,6,6,4,3,7,4,6,6,8,8
48,female,26,category,9,9,9,9,9,9,9,9,9,8,7,6,7,6,8,8,8,5,6,6,6
49,female,31,category,9,9,7,7,7,5,5,9,9,8,6,6,5,5,9,9,6,5,4,4,4
50,male,40,property,8,8,6,1,1,1,1,7,6,4,3,3,3,3,6,6,6,5,4,3,4
51,male,27,category,5,9,7,1,1,0,1,7,8,8,1,1,1,0,1,5,7,2,8,4,8
52,male,26,category,7,7,5,4,3,5,3,7,5,5,3,2,3,1,1,2,3,3,4,4,7
53,female,27,property,5,6,9,6,4,8,6,7,8,7,3,7,6,6,3,5,5,9,0,6,9
54,male,34,property,9,9,9,0,0,0,0,9,9,0,0,0,0,0,8,6,6,7,0,0,0
55,male,27,category,9,9,9,9,8,8,8,9,9,9,9,8,7,7,9,9,6,4,3,2,2
56,female,31,property,9,8,6,5,5,6,5,9,9,9,9,7,8,7,9,9,9,9,9,9,9
57,female,58,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9
58,male,30,category,4,5,4,4,4,5,4,4,4,4,4,4,4,5,3,4,4,5,4,4,4
59,male,22,property,7,7,5,4,1,1,0,8,8,4,3,1,1,1,2,6,6,7,3,2,2
60,male,37,property,8,8,2,1,1,0,0,8,8,7,1,1,1,0,7,7,6,5,4,1,2
61,male,31,property,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,4,4,4,4,4
62,female,36,category,9,8,7,5,5,6,5,9,9,6,5,3,3,3,8,9,3,4,4,3,4
63,male,84,property,4,6,7,7,6,5,8,6,7,8,8,6,6,5,5,8,7,2,6,6,6
64,male,29,category,9,9,6,1,0,0,0,9,8,7,0,0,0,0,9,8,3,3,1,1,1
65,male,32,property,8,7,3,1,1,1,1,8,6,1,2,1,1,1,8,8,7,2,2,3,1
66,male,31,property,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0
67,female,20,property,9,9,8,8,2,0,0,9,9,8,5,4,2,1,8,6,3,2,2,1,0
68,male,30,property,7,9,8,4,5,6,7,4,6,7,7,8,9,9,7,7,6,6,5,7,5
69,female,27,category,9,9,5,1,1,0,0,9,9,7,4,2,1,0,9,9,4,7,4,3,0
70,female,27,property,9,8,7,1,0,0,0,8,8,5,1,1,0,1,7,7,2,3,1,1,1
71,female,53,property,8,8,7,3,3,1,1,5,8,8,2,2,1,1,4,5,5,6,2,2,2
72,male,24,property,2,6,8,3,2,3,3,3,7,5,4,3,3,1,2,6,7,9,4,9,4
73,male,39,category,8,8,8,9,9,9,9,9,9,7,7,7,5,4,7,7,4,6,6,5,5
74,female,24,property,8,8,6,8,1,0,0,7,7,8,1,6,0,2,6,6,7,6,5,2,2
75,female,24,category,9,9,7,6,6,6,6,8,8,6,6,5,5,4,7,7,5,4,4,4,4
76,female,44,category,0,1,4,7,9,9,9,0,2,4,7,9,9,9,2,1,9,5,4,9,9
77,male,23,property,7,7,5,1,0,0,0,8,8,0,0,0,0,0,8,7,6,1,0,1,0
78,male,67,property,9,9,9,9,7,5,5,9,9,9,9,6,3,3,4,8,9,9,6,4,4
79,female,49,property,9,9,0,0,0,0,0,9,8,2,0,0,0,0,8,7,2,2,0,0,0
80,female,62,property,7,9,2,1,1,0,1,6,8,8,3,1,1,0,3,8,9,3,1,1,1
81,female,49,category,9,9,4,4,4,4,4,8,8,4,4,4,4,4,7,8,6,4,4,4,4
82,male,32,property,7,8,5,0,0,0,0,7,6,2,1,0,0,0,6,5,6,4,5,2,3
83,male,28,category,9,9,5,5,3,3,2,8,5,5,4,4,4,3,8,8,7,4,4,5,6
84,female,33,category,5,7,8,8,9,9,9,4,6,7,8,8,9,9,2,3,4,6,7,8,8
85,female,54,category,8,5,3,1,0,1,0,8,6,1,1,1,0,0,8,7,5,2,2,2,1
86,male,47,category,7,6,5,4,4,3,2,7,7,4,4,4,4,4,7,6,6,3,3,2,1
87,female,53,category,0,1,1,1,5,9,4,0,1,1,7,3,4,8,0,0,5,8,7,8,8
88,female,31,category,7,8,8,9,9,9,9,8,8,8,9,9,9,9,6,5,6,9,8,8,8
89,female,26,category,9,8,5,3,1,0,0,9,9,3,2,1,0,0,7,6,7,4,2,1,2
90,male,50,category,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8
91,female,27,category,8,6,4,4,3,1,1,9,7,3,6,2,2,0,9,8,6,4,2,2,2
92,female,41,category,9,9,3,1,0,0,0,9,9,7,1,0,0,0,9,9,8,9,9,4,1
93,male,30,category,6,6,5,7,8,3,2,6,4,7,5,2,3,1,1,7,5,6,6,3,3
94,male,45,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7
95,male,42,property,9,9,4,0,0,0,0,9,9,5,2,1,1,0,9,9,7,4,2,2,1
96,female,42,category,9,9,8,8,7,5,5,8,8,7,8,2,2,3,2,2,4,8,5,5,4
97,male,69,category,0,1,2,3,5,8,9,0,1,2,3,4,8,8,0,1,4,6,4,7,8
98,female,30,property,9,9,6,0,0,0,0,9,9,7,2,1,0,0,7,8,7,3,4,3,4
99,female,25,category,9,9,8,8,7,9,9,9,6,6,2,4,3,2,9,4,7,7,8,6,5
100,male,48,category,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7
101,male,27,property,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
102,male,45,category,8,6,6,4,7,7,3,5,7,7,7,7,7,6,3,5,4,6,5,4,3
103,male,31,property,9,9,6,4,4,4,4,9,8,8,5,4,4,4,7,9,8,6,4,4,4
104,male,20,category,8,9,6,0,0,0,0,9,8,8,5,2,2,0,3,7,8,7,3,3,0
105,male,21,property,5,5,5,4,2,1,1,5,5,5,2,2,2,2,5,5,4,3,3,3,3
106,male,28,category,7,6,5,5,5,5,3,8,7,5,5,4,4,4,5,5,5,5,4,4,4
107,male,29,category,8,8,7,3,3,2,2,7,7,7,4,2,2,2,6,6,7,3,2,2,2
108,male,33,property,8,8,4,1,1,1,1,8,8,3,2,1,1,1,8,8,2,2,2,2,1
109,male,31,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4
110,female,23,property,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,7,5,5
111,female,25,category,9,8,2,1,1,0,0,9,8,1,1,1,0,0,8,5,3,1,1,0,2
112,female,27,category,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6
113,male,30,property,7,7,3,3,0,0,0,7,5,2,2,1,1,1,6,5,4,4,2,3,2
114,female,26,property,6,7,6,5,5,6,6,6,6,6,6,5,5,6,5,6,6,6,6,6,6
115,female,21,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,8,8,8,8,8,9
116,female,27,property,8,8,5,2,1,1,0,8,8,7,2,1,1,1,6,6,8,8,8,7,3
117,female,20,property,9,7,6,4,2,3,0,9,6,5,4,2,1,0,8,7,5,3,2,1,0
118,female,34,category,6,3,8,6,1,1,0,6,7,8,4,2,1,0,3,1,7,7,8,4,2
119,male,31,category,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,9,7,6,1,0,2
120,male,35,category,9,9,9,8,1,1,0,9,9,9,6,7,0,0,0,9,9,5,3,0,0
121,male,23,category,8,8,7,4,4,4,4,8,7,6,4,4,4,4,6,8,7,4,4,4,4
122,male,22,category,9,8,2,1,1,0,0,9,6,3,2,1,0,0,9,7,3,3,2,2,1
123,male,27,category,9,8,8,9,8,9,8,9,9,9,9,8,8,9,5,7,8,7,2,9,9
124,female,23,property,8,8,5,2,1,0,0,8,9,9,0,2,1,0,8,7,7,4,2,2,1
125,female,41,category,9,6,2,2,0,0,0,8,5,3,2,1,1,0,8,8,3,5,3,2,1
126,female,36,property,9,7,7,0,0,0,0,7,7,4,2,0,0,0,6,4,2,4,0,0,0
127,male,25,category,9,9,9,9,9,9,9,9,9,9,4,5,3,5,9,9,9,5,3,4,7
128,female,47,property,9,8,8,0,0,0,0,5,5,7,1,0,0,0,4,5,0,4,4,0,4
129,female,22,category,8,6,5,3,1,0,0,9,5,4,2,3,1,0,2,5,4,7,7,8,8
130,female,32,category,8,7,8,4,4,4,1,7,6,7,3,3,3,2,8,7,7,5,5,4,4
131,male,37,property,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0
132,male,21,category,9,9,7,4,3,1,0,9,9,7,4,1,2,1,9,9,9,8,6,4,4
133,male,40,category,9,9,6,5,4,4,4,8,8,6,7,6,4,4,8,8,5,5,4,1,1
134,male,22,property,9,9,5,1,0,0,0,9,8,7,4,3,0,0,8,8,5,6,4,2,3
135,female,33,property,0,9,0,9,9,0,9,9,9,9,0,0,0,0,0,0,5,4,5,9,9
136,female,65,property,8,8,7,5,2,2,1,8,7,5,5,4,3,1,7,7,6,4,3,1,1
137,female,35,property,9,9,4,2,1,0,0,9,9,4,2,1,1,1,7,8,6,5,2,1,0
138,male,29,property,8,8,6,5,4,3,3,8,8,6,6,4,4,4,8,7,7,6,6,6,6
139,male,27,category,6,8,7,2,2,1,0,6,7,7,4,2,1,1,0,7,6,2,6,1,1
140,female,32,property,8,8,8,1,2,0,0,7,7,4,2,0,0,0,3,6,8,2,0,0,0
141,female,37,property,8,8,7,6,6,2,1,8,7,7,6,6,4,4,4,5,5,5,4,5,5
142,male,32,category,9,9,9,9,9,9,9,9,9,4,5,4,4,4,9,1,2,4,4,4,1
143,male,31,property,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,3,3,4,6,9,9
144,female,29,category,8,8,8,8,8,8,8,8,8,8,8,6,8,8,4,8,6,7,6,6,7
145,female,29,property,9,5,3,4,2,2,0,9,4,4,2,1,1,0,6,5,3,2,2,0,0
146,male,34,property,7,7,7,2,1,1,1,6,7,5,1,1,2,1,5,7,5,3,3,3,3
147,female,25,category,1,9,9,9,0,0,0,0,9,9,7,3,2,0,3,9,9,6,6,5,6
148,male,59,property,7,7,5,1,0,0,0,6,6,5,2,1,0,0,6,5,5,3,1,2,1
149,female,37,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,2,4,4,6,7
150,female,21,category,9,8,5,3,2,0,0,9,7,3,0,0,0,0,9,7,2,1,1,2,0
151,male,47,property,8,7,5,3,1,1,1,8,7,7,2,1,1,1,8,6,5,3,2,1,1
152,male,24,category,7,9,9,9,3,3,2,8,7,8,8,8,8,8,1,3,6,7,5,8,8
153,male,26,property,9,9,9,0,0,0,0,9,9,9,0,0,0,0,9,9,9,0,0,0,0
154,female,50,category,9,9,8,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,6,6,6
155,female,48,category,7,7,7,7,7,7,7,7,6,4,4,4,4,4,8,4,4,4,4,4,4
156,female,33,category,9,9,9,3,3,2,2,9,9,3,2,3,3,3,8,9,8,5,4,3,4
157,female,39,category,1,4,7,6,6,7,8,1,5,3,7,6,8,8,1,4,2,6,7,7,8
158,female,27,property,8,7,9,8,1,1,1,8,8,8,4,3,2,1,4,5,7,8,7,6,3
159,male,67,category,9,9,9,9,7,7,6,9,9,7,7,6,6,5,7,7,5,6,5,4,4
160,male,46,property,8,7,6,1,1,1,0,7,8,3,4,3,3,2,8,7,4,4,4,4,4
161,male,32,property,1,2,2,1,5,4,4,1,1,3,3,3,5,6,1,2,4,5,3,8,6
162,female,52,property,9,8,3,3,2,7,6,2,6,8,8,7,7,6,5,7,6,7,7,6,7
163,male,31,property,6,8,2,2,0,0,0,7,8,6,2,1,1,1,5,4,2,2,1,1,2
164,male,35,category,6,7,6,6,2,6,3,7,7,5,2,4,0,0,9,9,7,5,2,0,0
165,female,22,category,9,9,7,7,5,4,5,9,9,7,6,4,4,4,9,8,8,7,7,4,4
166,female,30,category,8,8,7,7,7,7,7,7,7,7,6,5,5,5,7,7,6,5,4,4,5
167,female,27,property,7,6,4,1,1,1,1,6,5,5,2,1,1,1,5,5,4,4,4,3,2
168,female,37,category,9,8,7,4,2,1,1,8,9,7,5,2,0,1,9,6,8,6,6,4,1
169,male,31,category,8,8,1,5,3,0,2,8,6,5,2,1,1,0,1,4,5,7,8,7,6
170,male,21,property,6,7,5,4,2,2,3,6,7,7,6,4,2,1,8,7,6,6,5,5,4
171,female,57,property,8,8,3,1,1,1,1,8,7,7,2,1,1,1,8,6,6,3,4,1,2
172,male,49,property,9,8,0,0,0,0,0,9,9,0,0,0,0,0,8,8,0,0,0,0,0
173,female,31,property,7,7,4,1,1,1,1,7,7,4,2,1,1,1,6,6,6,3,6,3,3
174,male,39,category,7,7,6,3,1,0,0,7,8,7,1,0,0,0,7,6,6,2,1,0,0
175,male,24,category,9,8,6,4,2,0,0,9,8,8,3,1,0,0,9,9,8,5,3,1,2
176,female,41,property,1,2,4,5,6,8,8,1,2,5,5,8,8,8,1,2,2,3,5,5,7
177,female,36,property,7,7,7,5,5,4,4,7,7,7,7,4,4,5,7,7,6,7,4,7,4
178,female,21,category,7,8,7,5,2,1,1,8,7,4,3,3,1,0,8,7,5,2,2,2,0
179,female,42,category,6,5,5,2,2,0,0,6,5,2,1,0,0,0,5,5,5,2,2,1,0
180,male,47,category,8,8,8,5,4,4,4,8,8,7,5,4,4,4,7,7,7,4,4,4,4
181,female,27,category,0,0,8,7,8,7,8,0,9,8,8,7,7,2,1,7,9,7,1,1,0
182,female,38,category,7,7,6,6,6,6,6,5,5,5,4,4,4,4,5,5,5,4,4,4,4
183,male,28,category,9,9,9,0,0,0,0,9,9,9,1,0,0,0,9,9,9,8,7,0,0
184,male,33,category,9,8,7,3,3,1,3,8,7,7,5,7,1,1,7,7,7,4,5,3,4
185,male,56,category,0,2,4,6,6,7,8,1,2,7,5,6,5,8,8,3,6,7,7,5,4
186,female,47,property,9,9,9,0,0,0,0,9,9,9,9,0,0,0,9,9,9,9,9,0,3
187,female,27,category,9,9,9,0,0,0,0,9,9,9,0,0,0,0,9,9,9,5,0,0,0
188,female,35,category,9,9,9,9,6,6,6,8,8,8,8,6,6,4,4,4,4,4,4,4,4
189,male,70,property,8,7,1,1,1,1,1,8,7,1,6,1,1,1,7,7,6,5,2,1,1
190,female,34,property,8,8,4,1,1,1,1,8,7,6,1,2,1,1,8,6,3,2,2,3,2
191,female,34,category,9,6,3,4,3,2,0,9,5,2,3,2,0,0,9,6,3,1,0,1,1
192,female,53,category,8,7,1,1,1,1,1,8,8,7,7,3,1,1,8,1,0,2,8,1,0
193,female,34,property,8,6,3,0,0,0,0,7,6,3,3,1,1,0,6,8,6,5,3,3,4
194,female,32,property,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,8,0,0,0,0,0
195,male,25,property,8,8,8,1,1,1,1,7,7,7,4,2,1,2,6,6,6,4,4,4,4
196,male,24,property,7,3,8,8,1,1,1,6,6,7,7,5,5,4,1,4,4,4,3,3,3
197,male,38,category,8,8,6,5,6,6,5,7,7,6,4,3,3,3,7,7,5,5,4,4,4
198,female,26,category,4,5,5,2,7,4,7,6,4,5,4,2,5,5,5,5,5,5,5,4,4
199,female,36,property,3,2,4,6,5,6,5,4,7,6,5,4,5,6,4,4,5,6,5,5,6
200,male,46,category,8,8,8,7,7,7,7,8,8,8,7,7,7,7,5,5,5,5,5,5,5
201,male,30,property,9,7,3,3,2,2,0,9,8,5,2,2,0,0,1,4,4,5,7,7,8
202,male,26,property,9,8,9,0,0,0,0,6,8,7,3,1,1,0,3,3,5,5,7,8,7
203,male,43,category,9,9,6,6,5,5,5,9,6,4,2,3,1,0,9,7,4,6,2,3,1
204,male,30,property,8,8,9,2,1,0,0,8,9,5,6,2,1,2,2,4,7,6,7,2,1
205,female,48,category,9,9,0,0,0,0,0,9,8,7,3,2,2,0,9,7,6,7,2,2,1
206,female,42,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,4,5,6,7,9,9
207,male,29,category,9,8,7,9,4,8,8,8,7,8,7,8,7,4,6,7,8,4,3,4,2
208,male,30,property,4,6,7,7,2,1,0,4,5,6,6,1,1,0,6,5,7,3,2,3,2
209,male,33,property,5,9,7,0,1,0,0,7,7,8,2,2,3,0,7,6,5,4,5,1,2
210,male,38,property,4,4,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4
211,female,29,property,4,7,7,1,1,1,0,2,8,7,2,1,1,1,2,4,4,4,4,5,5
212,male,24,property,6,7,7,6,8,7,7,2,7,6,8,6,7,7,3,8,8,7,8,9,7
213,female,47,property,8,6,2,7,7,4,8,3,8,4,8,6,3,3,7,8,8,8,8,1,7
214,female,61,property,9,9,6,0,0,0,0,8,9,6,0,0,0,0,8,8,2,3,1,0,0
215,male,43,property,9,5,9,9,8,5,9,9,9,9,9,9,9,9,8,9,8,9,9,9,9
216,male,36,property,8,8,6,3,3,1,1,7,6,6,2,3,4,2,2,3,5,4,5,4,4
217,male,25,property,7,6,2,3,2,1,1,7,5,5,2,3,2,3,3,4,7,5,6,7,7
218,female,29,category,7,6,6,7,8,7,6,8,7,6,7,5,6,7,7,4,7,5,7,7,7
219,female,25,property,6,9,7,5,3,0,0,2,9,8,3,4,0,0,2,9,8,6,1,0,1
220,male,44,category,9,9,9,9,9,0,0,9,9,8,7,3,1,0,9,9,3,0,0,0,0
221,female,29,property,9,8,3,1,1,0,1,8,7,5,3,3,2,4,9,7,4,5,4,4,4
222,male,32,property,8,8,3,2,2,2,1,7,7,7,2,5,3,3,7,8,7,7,7,4,6
223,female,35,category,9,8,7,6,1,2,1,8,8,6,5,3,2,2,6,7,6,3,3,4,2
224,female,34,category,8,8,8,8,8,8,8,7,6,5,4,4,4,4,2,7,7,6,4,4,4
225,male,44,property,3,3,3,1,0,0,0,2,2,2,1,0,0,0,1,1,1,1,1,1,1
